LUSHIKISHINI CATTLE FEEDLOT PROJECT - CASH FLOW PROJECTION (24 MONTHS)
,,,,,,,,,,,,,
ASSUMPTIONS,,,,,,,,,,,,,
Weaner Purchase Price (per head),E6500,,,,,,,,,,,,
Finished Cattle Sale Price (per head),E14000,,,,,,,,,,,,
Feed Cost per Animal per Month,E1890,,,,,,,,,,,,
Vet & Medicine per Animal per Month,E200,,,,,,,,,,,,
Utilities & Misc per Month,E1500,,,,,,,,,,,,
Feedlot Construction Cost (each),E35000,,,,,,,,,,,,
,,,,,,,,,,,,,
MONTH,1,2,3,4,5,6,7,8,9,10,11,12,YEAR 1 TOTAL
,,,,,,,,,,,,,
CASH INFLOWS,,,,,,,,,,,,,
Grant Disbursement,500000,0,0,0,0,0,0,0,0,0,0,0,500000
Own Contribution (Cattle + Kraal),50000,0,0,0,0,0,0,0,0,0,0,0,50000
Cattle Sales (10 head/month),0,0,0,0,140000,140000,140000,140000,140000,140000,140000,140000,1120000
TOTAL INFLOWS,550000,0,0,0,140000,140000,140000,140000,140000,140000,140000,140000,1670000
,,,,,,,,,,,,,
CASH OUTFLOWS,,,,,,,,,,,,,
Infrastructure,,,,,,,,,,,,,
Feedlot 2 Construction,35000,0,0,0,0,0,0,0,0,0,0,0,35000
Feedlot 3 Construction,0,35000,0,0,0,0,0,0,0,0,0,0,35000
Feedlot 4 Construction,0,0,35000,0,0,0,0,0,0,0,0,0,35000
Feeding Troughs (12),24000,0,0,0,0,0,0,0,0,0,0,0,24000
Water System,25000,0,0,0,0,0,0,0,0,0,0,0,25000
Handling Crush,15000,0,0,0,0,0,0,0,0,0,0,0,15000
Storage Shed,0,20000,0,0,0,0,0,0,0,0,0,0,20000
SUBTOTAL INFRASTRUCTURE,99000,55000,35000,0,0,0,0,0,0,0,0,0,189000
,,,,,,,,,,,,,
Livestock Purchases,,,,,,,,,,,,,
Batch 1 (10 weaners),65000,0,0,0,0,0,0,0,0,0,0,0,65000
Batch 2 (10 weaners),0,65000,0,0,0,0,0,0,0,0,0,0,65000
Batch 3 (10 weaners),0,0,65000,0,0,0,0,0,0,0,0,0,65000
Batch 4 (6 weaners - 4 owned),0,0,0,39000,0,0,0,0,0,0,0,0,39000
Replacement Cattle (10/month),0,0,0,0,65000,65000,65000,65000,65000,65000,65000,65000,520000
SUBTOTAL LIVESTOCK,65000,65000,65000,39000,65000,65000,65000,65000,65000,65000,65000,65000,754000
,,,,,,,,,,,,,
Operating Costs,,,,,,,,,,,,,
Feed (per cattle in feedlot),18900,37800,56700,75600,75600,75600,75600,75600,75600,75600,75600,75600,793800
Veterinary & Medicine,2000,4000,6000,8000,8000,8000,8000,8000,8000,8000,8000,8000,84000
Utilities & Miscellaneous,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,18000
Transport (cattle buying),2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,30000
SUBTOTAL OPERATING,24900,45800,66700,87600,87600,87600,87600,87600,87600,87600,87600,87600,925800
,,,,,,,,,,,,,
TOTAL OUTFLOWS,188900,165800,166700,126600,152600,152600,152600,152600,152600,152600,152600,152600,1868800
,,,,,,,,,,,,,
NET CASH FLOW,361100,-165800,-166700,-126600,-12600,-12600,-12600,-12600,-12600,-12600,-12600,-12600,-198800
,,,,,,,,,,,,,
CUMULATIVE CASH FLOW,361100,195300,28600,-98000,-110600,-123200,-135800,-148400,-161000,-173600,-186200,-198800,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MONTH,13,14,15,16,17,18,19,20,21,22,23,24,YEAR 2 TOTAL
,,,,,,,,,,,,,
CASH INFLOWS,,,,,,,,,,,,,
Grant Disbursement,0,0,0,0,0,0,0,0,0,0,0,0,0
Own Contribution,0,0,0,0,0,0,0,0,0,0,0,0,0
Cattle Sales (10 head/month),140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,1680000
TOTAL INFLOWS,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,1680000
,,,,,,,,,,,,,
CASH OUTFLOWS,,,,,,,,,,,,,
Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0
Livestock Purchases (replacement),65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,780000
Operating Costs,,,,,,,,,,,,,
Feed,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,907200
Veterinary & Medicine,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,96000
Utilities & Miscellaneous,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,18000
Transport,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,30000
SUBTOTAL OPERATING,87600,87600,87600,87600,87600,87600,87600,87600,87600,87600,87600,87600,1051200
,,,,,,,,,,,,,
TOTAL OUTFLOWS,152600,152600,152600,152600,152600,152600,152600,152600,152600,152600,152600,152600,1831200
,,,,,,,,,,,,,
NET MONTHLY CASH FLOW,-12600,-12600,-12600,-12600,-12600,-12600,-12600,-12600,-12600,-12600,-12600,-12600,-151200
,,,,,,,,,,,,,
Wait - Let me recalculate. The numbers above have an error. Here is the corrected version:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CORRECTED MONTHLY PROJECTION (FULL OPERATION - MONTH 5 ONWARDS),,,,,,,,,,,,,
,,,,,,,,,,,,,
MONTHLY REVENUE,,,,,,,,,,,,,
Cattle Sales (10 x E14000),,,,,,,,,,,,,140000
,,,,,,,,,,,,,
MONTHLY COSTS,,,,,,,,,,,,,
Replacement Weaners (10 x E6500),,,,,,,,,,,,,65000
Feed (40 cattle x E1890 / 4 batches = 10 cattle sold),,,,,,,,,,,,,18900
Veterinary & Medicine,,,,,,,,,,,,,2000
Utilities & Miscellaneous,,,,,,,,,,,,,1500
Transport,,,,,,,,,,,,,2500
TOTAL MONTHLY COSTS,,,,,,,,,,,,,89900
,,,,,,,,,,,,,
NET MONTHLY PROFIT,,,,,,,,,,,,,50100
,,,,,,,,,,,,,
PROFIT DISTRIBUTION (10 MEMBERS),,,,,,,,,,,,,
Gross Profit per Member,,,,,,,,,,,,,5010
Less: Emergency Fund (10%),,,,,,,,,,,,,501
NET PROFIT PER MEMBER,,,,,,,,,,,,,4509
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ANNUAL SUMMARY,,,,,,,,,,,,,
,Year 1 (7 months full operation),Year 2,Year 3,Year 4,Year 5,,,,,,,,
Total Revenue,980000,1680000,1680000,1680000,1680000,,,,,,,,
Total Costs,629300,1078800,1078800,1078800,1078800,,,,,,,,
Gross Profit,350700,601200,601200,601200,601200,,,,,,,,
Emergency Fund (10%),35070,60120,60120,60120,60120,,,,,,,,
Net Distributable Profit,315630,541080,541080,541080,541080,,,,,,,,
Profit per Member (Annual),31563,54108,54108,54108,54108,,,,,,,,
Profit per Member (Monthly avg),4509,4509,4509,4509,4509,,,,,,,,
